engine,order,ns
EngineV4,23,180.0
EngineV4,24,690.0
EngineV4,25,200.0
EngineV4,26,210.0
EngineV4,27,200.0
EngineV4,28,180.0
EngineV4,29,410.0
EngineV4,30,240.0
EngineV4,31,140.0
EngineV4,32,180.0
EngineV4,33,40.0
EngineV4,34,180.0
EngineV4,35,40.0
EngineV4,36,170.0
EngineV4,37,290.0
EngineV4,38,440.0
EngineV4,39,60.0
EngineV4,40,210.0
EngineV4,41,70.0
EngineV4,42,600.0
EngineV4,43,70.0
EngineV4,44,240.0
EngineV4,45,190.0
EngineV4,46,50.0
EngineV4,47,170.0
EngineV4,48,190.0
EngineV4,49,190.0
EngineV4,50,190.0
EngineV4,51,30.0
EngineV4,52,80.0
EngineV4,53,210.0
EngineV4,54,170.0
EngineV4,55,180.0
EngineV4,56,330.0
EngineV4,57,220.0
EngineV4,58,80.0
EngineV4,59,180.0
EngineV4,60,200.0
EngineV4,61,350.0
EngineV4,62,110.0
EngineV4,63,50.0
EngineV4,64,170.0
EngineV4,65,210.0
EngineV4,66,300.0
EngineV4,67,60.0
EngineV4,68,60.0
EngineV4,69,160.0
EngineV4,70,170.0
EngineV4,71,530.0
EngineV4,72,60.0
EngineV4,73,50.0
EngineV4,74,190.0
EngineV4,75,170.0
EngineV4,76,190.0
EngineV4,77,60.0
EngineV4,78,170.0
EngineV4,79,400.0
EngineV4,80,210.0
EngineV4,81,50.0
EngineV4,82,180.0
EngineV4,83,160.0
EngineV4,84,180.0
EngineV4,85,50.0
EngineV4,86,30.0
EngineV4,87,150.0
EngineV4,88,50.0
EngineV4,89,40.0
EngineV4,90,110.0
EngineV4,91,150.0
EngineV4,92,170.0
EngineV4,93,150.0
EngineV4,94,170.0
EngineV4,95,50.0
EngineV4,96,40.0
EngineV4,97,210.0
EngineV4,98,30.0
EngineV4,99,40.0
