34212.206090682,1,17086988,200,5780000,1
34212.206550349,5,0,200,5780300,1
34212.206876537,5,0,100,5780500,1
34212.206876537,5,0,100,5780100,1
34212.207179106,5,0,100,5780100,1
34212.207179106,4,17086988,100,5780000,1
34212.207361737,4,17086988,100,5780000,1
34212.208156427,1,17087159,578,5780000,-1
34212.228275332,3,16937480,2,5794500,-1
34212.241038624,1,17088891,2,5789000,-1
34212.243066406,3,17088891,2,5789000,-1
34212.245781202,3,17087159,578,5780000,-1
34212.24593772,5,0,100,5775400,1
34212.246235883,5,0,100,5775400,1
34212.24640177,5,0,100,5775200,1
34212.246573827,4,3911727,10,5775100,1
34212.246573827,4,16273432,90,5775100,1
34212.24678587,4,16273432,10,5775100,1
34212.246816706,1,17089209,66,5775100,1
34212.246961714,4,17089209,66,5775100,1
34212.246961714,1,17089214,102,5775100,-1
34212.256787409,1,17089639,2,5780000,-1
34212.261672753,1,17089772,100,5799800,-1
34212.272642446,1,17090257,100,5798800,-1
34212.2765606,3,17089639,2,5780000,-1
34212.2765606,1,17090451,2,5775100,-1
34212.278004576,3,17089214,102,5775100,-1
34212.27825815,3,17089772,100,5799800,-1
34212.278694774,3,17090257,100,5798800,-1
34212.28018577,4,3565712,2,5774500,1
34212.280250969,4,3565712,1,5774500,1
34212.284162466,4,17090451,2,5775100,-1
34212.290206556,1,17091161,15,5771000,1
34212.290325092,1,17091167,4,5771000,1
34212.290467871,1,17091173,8,5771000,1
34212.295288066,1,17091418,2,5775100,-1
34212.29557982,4,17091418,2,5775100,-1
34212.29557982,1,17091434,98,5775100,1
34212.317876704,1,17092219,100,5791100,-1
34212.34250483,1,17093146,2,5791100,-1
34212.437322644,1,17096371,100,5798800,-1
34212.616509013,3,17091161,15,5771000,1
34212.639062977,3,17091167,4,5771000,1
34212.705131581,4,17091434,98,5775100,1
34212.705131581,5,0,2,5774500,1
34212.719680789,1,17104353,100,5774500,1
34212.722806287,3,17091173,8,5771000,1
34212.725440621,1,17104451,8,5774500,1
34213.294061275,1,17120812,600,5774500,1
34213.88519585,3,17096371,100,5798800,-1
34213.885400539,1,17132229,100,5795800,-1
34213.962547453,3,17092219,100,5791100,-1
34214.499755316,3,17104451,8,5774500,1
34215.471813013,3,16936717,100,5794500,-1
34215.471948615,1,17185218,100,5785900,-1
34215.472129336,1,17185233,100,5785900,-1
34215.473267646,3,17132229,100,5795800,-1
34215.473455982,1,17185317,100,5794500,-1
34215.476996933,3,17093146,2,5791100,-1
34215.477763413,1,17185553,2,5788000,-1
34216.113710965,3,17120812,600,5774500,1
34216.113867794,3,17185233,100,5785900,-1
34216.116067882,1,17206828,600,5775500,1
34216.116151371,3,17104353,100,5774500,1
34217.147886513,3,17185218,100,5785900,-1
34217.148068157,1,17247457,100,5784400,-1
34217.148236482,1,17247479,100,5784400,-1
34217.148656078,3,17185317,100,5794500,-1
34217.148960655,1,17247549,100,5795800,-1
34217.167865699,1,17248228,100,5780000,-1
34217.168005894,3,17247549,100,5795800,-1
34217.16802523,3,17247479,100,5784400,-1
34217.168134247,3,17248228,100,5780000,-1
34217.168134247,1,17248243,100,5781400,-1
34217.168198007,1,17248246,100,5794500,-1
34217.169177374,3,17248246,100,5794500,-1
34217.169375486,1,17248302,100,5795800,-1
34217.171685747,3,17248302,100,5795800,-1
34217.171873638,1,17248380,100,5794500,-1
34217.181119739,5,0,100,5775900,1
34217.206704761,5,0,100,5781100,-1
34217.208712156,3,17248380,100,5794500,-1
34217.209297906,5,0,100,5781300,-1
34217.210470267,5,0,100,5781300,-1
34217.214155458,1,17255024,100,5795800,-1
34217.362201857,5,0,70,5776000,1
