engine,batch,m_orders_per_second
EngineV5,583,18.77581674802854
EngineV5,584,17.834849295523455
EngineV5,585,19.676905216347574
EngineV5,586,19.573302016050107
EngineV5,587,18.90359168241966
EngineV5,588,18.85014137606032
EngineV5,589,19.193857965451055
EngineV5,590,18.39249586168843
EngineV5,591,18.800526414739615
EngineV5,592,19.10548136260293
EngineV5,593,18.51508979818552
EngineV5,594,19.01863826550019
EngineV5,595,19.047256242738236
EngineV5,596,18.422991893883566
EngineV5,597,19.120458891013385
EngineV5,598,18.531902670447174
EngineV5,599,18.467220683287167
EngineV5,600,18.789928598271327
EngineV5,601,18.057060310581438
EngineV5,602,17.61493746697199
EngineV5,603,18.311664530305805
EngineV5,604,17.806267806267808
EngineV5,605,18.204988166757694
EngineV5,606,18.368846436443793
EngineV5,607,18.158707100054478
EngineV5,608,18.518175589340938
EngineV5,609,18.39926402943882
EngineV5,610,16.5809981760902
EngineV5,611,18.027437760271134
EngineV5,612,18.667164457718872
EngineV5,613,18.49112426035503
EngineV5,614,18.694733693518536
EngineV5,615,18.52537977028529
EngineV5,616,19.007793195210038
EngineV5,617,18.460402436773123
EngineV5,618,18.073377914332188
EngineV5,619,19.149751053236308
EngineV5,620,18.642803877703205
EngineV5,621,18.241517694272165
EngineV5,622,16.46090534979424
EngineV5,623,18.261504747991236
EngineV5,624,17.97268152408339
EngineV5,625,18.846588767433097
EngineV5,626,18.7125748502994
EngineV5,627,19.182444227043412
EngineV5,628,19.116803670426304
EngineV5,629,19.297568506368197
EngineV5,630,19.45866007666712
EngineV5,631,17.670966601873122
EngineV5,632,18.782870022539445
EngineV5,633,18.625442354255913
EngineV5,634,16.14987080103359
EngineV5,635,18.49112426035503
EngineV5,636,19.24557351809084
EngineV5,637,18.6046511627907
EngineV5,638,18.49112426035503
EngineV5,639,19.584802193497847
EngineV5,640,18.590470524808982
EngineV5,641,17.822135091783995
EngineV5,642,19.18649270913277
EngineV5,643,19.083605274708496
EngineV5,644,18.789928598271327
EngineV5,645,19.50078003120125
EngineV5,646,14.038831407673626
EngineV5,647,12.010569300984868
EngineV5,648,12.584790022778469
EngineV5,649,15.691197238349286
EngineV5,650,19.043991620643688
EngineV5,651,18.839132646332963
EngineV5,652,19.241870309794113
EngineV5,653,18.907165815844206
EngineV5,654,19.025513213218925
EngineV5,655,18.946570670708603
EngineV5,656,19.01863826550019
EngineV5,657,18.138615298108142
EngineV5,658,18.51851851851852
EngineV5,659,18.27485380116959
EngineV5,660,17.363824208643713
EngineV5,661,17.988846914912752
EngineV5,662,19.368584156498162
EngineV5,663,19.20860545524395
EngineV5,664,19.338619222587507
EngineV5,665,19.146084625694048
EngineV5,666,19.50458357714063
EngineV5,667,19.40579457025868
EngineV5,668,19.565642731363727
EngineV5,669,19.256691700365877
EngineV5,670,19.51943159415198
EngineV5,671,19.455252918287936
EngineV5,672,20.08435428800964
EngineV5,673,19.179133103183737
EngineV5,674,19.735543714229326
EngineV5,675,19.37608990505716
EngineV5,676,19.007793195210038
EngineV5,677,18.949801974569365
EngineV5,678,19.71608832807571
EngineV5,679,18.92863903085368
EngineV5,680,19.072686006370276
EngineV5,681,19.004180919802355
EngineV5,682,19.34984520123839
EngineV5,683,19.731260235591247
EngineV5,684,19.252984212552946
EngineV5,685,18.857250612860646
EngineV5,686,18.811136192626034
EngineV5,687,19.342359767891683
EngineV5,688,19.26040061633282
EngineV5,689,19.058509624547362
EngineV5,690,19.680777784338037
EngineV5,691,18.89644746787604
